Date,Description,Amount,Account
2024-11-15,WHOLE FOODS MARKET,-89.47,Wells Fargo Checking
2024-11-14,SHELL GAS STATION,-52.30,Wells Fargo Checking
2024-11-13,STARBUCKS,-6.85,Wells Fargo Checking
2024-11-12,TRANSFER TO WEALTHFRONT,-800.00,Wells Fargo Checking
2024-11-11,AMAZON.COM PURCHASE,-134.56,Wells Fargo Checking
2024-11-10,CHIPOTLE MEXICAN GRILL,-12.45,Wells Fargo Checking
2024-11-09,PG&E ELECTRIC BILL,-89.23,Wells Fargo Checking
2024-11-08,PAYROLL DEPOSIT,3000.00,Wells Fargo Checking
2024-11-07,UBER RIDESHARE,-18.75,Wells Fargo Checking
2024-11-06,TARGET PURCHASE,-67.89,Wells Fargo Checking
2024-11-05,RENT PAYMENT - DEMO APARTMENTS,-2400.00,Wells Fargo Checking
2024-11-04,COSTCO WHOLESALE,-156.78,Wells Fargo Checking
2024-11-03,NETFLIX SUBSCRIPTION,-17.99,Wells Fargo Checking
2024-11-02,ACORNS INVESTMENT,-25.00,Wells Fargo Checking
2024-11-01,VERIZON WIRELESS,-89.99,Wells Fargo Checking
